archetype,agent,mean_win_rate,std_win_rate
random,mirror,0.3373333333333333,0.022499382707581603
random,ucb1,0.3236666666666667,0.02906697247545553
random,random,0.33066666666666666,0.03696244340167763
random,Frequency,0.32300000000000006,0.03961481204465488
random,Markov (last-move),0.3433333333333333,0.024540216425741283
random,Markov (last-2),0.3273333333333333,0.03434465832637669
random,Win-Stay / Lose-Shift,0.3386666666666666,0.032836294282732666
random,Anti-Repeat,0.3366666666666666,0.027788886667555114
rock_biased,mirror,0.4043333333333333,0.03604934889225539
rock_biased,ucb1,0.4116666666666667,0.03854290538549936
rock_biased,random,0.32433333333333336,0.0373214266727424
rock_biased,Frequency,0.5,0.034205262752974155
rock_biased,Markov (last-move),0.4743333333333333,0.024756592836836188
rock_biased,Markov (last-2),0.4313333333333334,0.0400194397206602
rock_biased,Win-Stay / Lose-Shift,0.3346666666666667,0.031169785940162557
rock_biased,Anti-Repeat,0.29233333333333333,0.025223445883190147
win_stay_lose_shift,mirror,0.38833333333333336,0.02592724864350674
win_stay_lose_shift,ucb1,0.412,0.03213513134665341
win_stay_lose_shift,random,0.32033333333333336,0.02923848301278452
win_stay_lose_shift,Frequency,0.2723333333333333,0.020564262420249575
win_stay_lose_shift,Markov (last-move),0.4306666666666666,0.029147136318265574
win_stay_lose_shift,Markov (last-2),0.4133333333333333,0.028790430508918913
win_stay_lose_shift,Win-Stay / Lose-Shift,0.46266666666666656,0.028859814429217825
win_stay_lose_shift,Anti-Repeat,0.22800000000000004,0.0347754702819866
cyclic,mirror,0.6240000000000001,0.054442630355264816
cyclic,ucb1,0.5930000000000001,0.031187604375242844
cyclic,random,0.3486666666666666,0.04314574782705193
cyclic,Frequency,0.2966666666666667,0.039482766986229434
cyclic,Markov (last-move),0.7616666666666667,0.03223179934302288
cyclic,Markov (last-2),0.7186666666666668,0.041411216945278106
cyclic,Win-Stay / Lose-Shift,0.33666666666666667,0.034286375654996766
cyclic,Anti-Repeat,0.6456666666666667,0.03213858878185054
anti_repeat,mirror,0.3516666666666667,0.021807236311728168
anti_repeat,ucb1,0.3646666666666667,0.0236267268622258
anti_repeat,random,0.3243333333333334,0.02414309194964242
anti_repeat,Frequency,0.32466666666666666,0.03383620677453206
anti_repeat,Markov (last-move),0.39233333333333337,0.03525462932564869
anti_repeat,Markov (last-2),0.3796666666666667,0.04514667454223203
anti_repeat,Win-Stay / Lose-Shift,0.3266666666666667,0.05091387062699341
anti_repeat,Anti-Repeat,0.4086666666666667,0.035565276448931045
