alpha,epsilon,archetype,mean_win_rate,std_win_rate
0.1,0.05,random,0.3333333333333332,0.02371122565837165
0.1,0.05,rock_biased,0.4126666666666667,0.03811677962379415
0.1,0.05,win_stay_lose_shift,0.4013333333333333,0.03333999933346664
0.1,0.05,cyclic,0.6503333333333334,0.04458948555682408
0.1,0.05,anti_repeat,0.3523333333333334,0.02112397269033981
0.1,0.15,random,0.33799999999999997,0.02350886357667394
0.1,0.15,rock_biased,0.4080000000000001,0.044264357369483344
0.1,0.15,win_stay_lose_shift,0.39099999999999996,0.04029888335921977
0.1,0.15,cyclic,0.6353333333333333,0.03943207943906699
0.1,0.15,anti_repeat,0.37100000000000005,0.02557342370508885
0.1,0.3,random,0.34199999999999997,0.021432063207571343
0.1,0.3,rock_biased,0.3876666666666667,0.04350734293069262
0.1,0.3,win_stay_lose_shift,0.392,0.029371187695880915
0.1,0.3,cyclic,0.624,0.04079215610874229
0.1,0.3,anti_repeat,0.36633333333333334,0.029465610840812756
0.3,0.05,random,0.3396666666666667,0.028015868519267587
0.3,0.05,rock_biased,0.43966666666666665,0.02513076909996102
0.3,0.05,win_stay_lose_shift,0.39033333333333337,0.02661244487494943
0.3,0.05,cyclic,0.6493333333333334,0.0377653574353828
0.3,0.05,anti_repeat,0.37099999999999994,0.03702251567177286
0.3,0.15,random,0.33199999999999996,0.040898247721224766
0.3,0.15,rock_biased,0.421,0.05083306010855534
0.3,0.15,win_stay_lose_shift,0.39566666666666667,0.02365492666561356
0.3,0.15,cyclic,0.6419999999999999,0.046144699948459225
0.3,0.15,anti_repeat,0.37466666666666665,0.03671814568060623
0.3,0.3,random,0.33233333333333337,0.03010352507966836
0.3,0.3,rock_biased,0.4076666666666666,0.04346901834129172
0.3,0.3,win_stay_lose_shift,0.38933333333333336,0.02676232841555873
0.3,0.3,cyclic,0.6043333333333333,0.05641709748727676
0.3,0.3,anti_repeat,0.365,0.03807886552931954
0.5,0.05,random,0.3396666666666667,0.03333999933346664
0.5,0.05,rock_biased,0.41700000000000004,0.0307571129984594
0.5,0.05,win_stay_lose_shift,0.3986666666666666,0.030025914733036122
0.5,0.05,cyclic,0.6433333333333333,0.05328122454381927
0.5,0.05,anti_repeat,0.35500000000000004,0.03842742076521226
0.5,0.15,random,0.3186666666666667,0.026923760675078227
0.5,0.15,rock_biased,0.39233333333333337,0.03410115670895768
0.5,0.15,win_stay_lose_shift,0.38499999999999995,0.0345446570880843
0.5,0.15,cyclic,0.6279999999999999,0.04489988864128731
0.5,0.15,anti_repeat,0.37699999999999995,0.0256124969497314
0.5,0.3,random,0.33399999999999996,0.0233238075793812
0.5,0.3,rock_biased,0.4046666666666667,0.032013885876114576
0.5,0.3,win_stay_lose_shift,0.3823333333333333,0.023584363935078307
0.5,0.3,cyclic,0.6156666666666666,0.028335294049804567
0.5,0.3,anti_repeat,0.3616666666666667,0.03379677828169754
